Id,SalePrice
1461,110362.089992452
1462,149417.68227440276
1463,184174.94312282713
1464,208499.57256235587
1465,207129.59402737793
1466,160515.5153327133
1467,165690.98892416523
1468,171080.58734664338
1469,191766.76904396652
1470,154054.76297362518
1471,174930.08523059828
1472,108535.36798424169
1473,109079.43527120531
1474,175638.96785824728
1475,116788.55455111987
1476,398112.21263391915
1477,236874.6285436703
1478,295198.90269102005
1479,304528.67404822586
1480,439970.540186097
1481,321971.9932219295
1482,221490.40900191493
1483,174339.2048216257
1484,203694.19960912163
1485,202709.64581219436
1486,195956.6361990132
1487,323536.558001433
1488,198889.27923569048
1489,191593.9899285504
1490,239402.00434170858
1491,193881.29325811457
1492,89574.15696128833
1493,164578.15395773062
1494,259009.92638844604
1495,289955.54023455625
1496,235236.35922158675
1497,199918.8343862356
1498,173783.6103652514
1499,171466.80440352747
1500,192515.84407769737
1501,170436.45424919474
1502,221041.95204771744
1503,238142.03176120284
1504,234488.70560135102
1505,228891.60716608426
1506,137779.36356845047
1507,229098.53244893413
1508,189299.8831023408
1509,169551.85332849558
1510,150117.7913465539
1511,139132.71726613815
1512,138313.5121757277
1513,130560.51809357337
1514,102894.52477340962
1515,170306.61070070657
1516,149770.46658316214
1517,193630.67097515188
1518,111799.04717153756
1519,197020.39994718152
1520,139557.63061631058
1521,134941.89150150996
1522,149095.45811673306
1523,126861.12737738845
1524,97959.53096014586
1525,131920.5579954251
1526,110599.13288564929
1527,109331.21164932633
1528,132221.14331341255
1529,148585.14089357093
1530,175333.7104461943
1531,129407.72530408337
1532,100124.98360117906
1533,119316.93604077573
1534,102201.32063312273
1535,176119.85981483536
1536,126552.8486819286
1537,96263.8596945385
1538,131679.14490458553
1539,148540.6800593777
1540,91522.56606258357
1541,118529.86219483585
1542,113090.61875851828
1543,193712.76259551136
1544,105429.02391447108
1545,106949.98766992072
1546,120663.99854838717
1547,124522.86772839515
1548,119243.4901376599
1549,117282.7586392407
1550,127790.15212345029
1551,118199.22332916489
1552,123897.48549115675
1553,121457.45562624786
1554,142471.97545944227
1555,167274.42698436347
1556,146097.1291184921
1557,91764.29338937759
1558,125701.4932673787
1559,89390.25275379271
1560,145036.90138563368
1561,120012.71610190452
1562,144844.36456306442
1563,133600.90245065987
1564,152824.84011817412
1565,178887.35137921764
1566,221632.77815374767
1567,90938.92108858126
1568,228285.97272131254
1569,137698.31651392113
1570,158247.6939492507
1571,146182.1072190124
1572,135428.46915274335
1573,228210.6874402504
1574,110781.87970878839
1575,236420.67033424028
1576,231071.94540382907
1577,206670.21803749324
1578,109918.74470207673
1579,150234.86782937427
1580,192618.64048176986
1581,168336.7714548292
1582,118802.3925054593
1583,272683.04103219765
1584,199268.6148456496
1585,149318.82449492835
1586,86283.82119621699
1587,94416.6333356829
1588,174755.79288997367
1589,99411.83437175336
1590,137303.43367460973
1591,109902.52575623078
1592,116589.51764811327
1593,108586.8271094845
1594,100191.17599013104
1595,135737.77414706972
1596,223906.57250886067
1597,186807.16930151318
